title,companyname,location,salary,summary,description
"Sensory & Consumer Insight Senior Scientist",Firmenich,Tuas,None,"Define the research approach, design questionnaires, participate in fieldwork supervision, analyse consumer data and to validate flavour submissions.","Key Responsibilities:
Work closely with the Business Segment Lead, cross-functional teams (marketing, collection, application, creation) to develop marketing strategies for the region

Execute proactive Consumer and Sensory studies in alignment with business priorities, in collaboration with the Marketing and Business Segments Leads

Partner and guide:
(1) the marketing team through advise and implementation of the appropriate or most convincing CSI methodology to create successful ideas/concepts for marketing promotion and marketing campaigns.

(2) the creation and application teams in flavour and end-product development to meet customer action standards in reactive briefs

Drive the consumer studies requested by internal and external customers by interacting directly with the commercial, category, technical teams and market agencies to design and plan consumer and sensory tests. Define the research approach, design questionnaires, participate in fieldwork supervision, analyse consumer data and to validate flavour submissions

Statistically analyse sensory/consumer research data and translate to an understanding of the product sensory landscape, consumer acceptance, preference or attitudes and how this drives liking

Work closely with the Senior CSI Manager to promote CSI expertise and services across the region to generate key customer briefs and provide sensory training (internally and externally) based on business needs.

Be a part of the Global CSI network and work with the global team in supporting global initiatives, such as exploring and testing new CSI tools & approaches, establishing best practice and sharing success stories

We value:
Bachelor Degree in either one of the disciplines: Sensory Science, Food Science, Market Research, Consumer Behavior, Statistics

Familiar with statistical treatment & data interpretation, preferably with FIZZ, XLSTAT, SensoMiner “R” software as well as MS Office Skills (Excel, Power point, Words)

Possesses trained sensory taste acuity, good interpersonal and communication skills, teamwork spirit and independency in project management

Min. 5-7 years of experience in a similar role from FMCG, F&F House, Market Research Industry

Prior experience in leading sensory trained/expert or external consumer panels & interacting with market agencies with questionnaire design

Expertise in a broad range of sensory/ consumer techniques and appropriate statistical knowledge

We offer:
A global and diverse working environment

Highly dynamic and multicultural company

Fair and competitive remuneration package"
"SCIENTIST/SENIOR SCIENTIST (BIOINFORMATICIAN)","Singapore Food Agency",Singapore,None,"Familiar with Illumina and/or Nanopore sequencing data analysis.
Conduct phylogenetic and statistical inference to obtain biological insights from big genomic…","Duties
Officer will be expected to:
Conduct applied biological and microbiological research, identify problem statements, generate research hypotheses, recommend technology-based solutions, and/or determine computational strategies, in support of the agency’s food safety operations, risk assessment and policies
Perform integrative analysis on high throughput sequencing datasets related to food microbiology (e.g. genomics, transcriptomics, metagenomics and metatranscriptomics)
Conduct phylogenetic and statistical inference to obtain biological insights from big genomic data
Develop and implement bioinformatics pipelines for workflow automation
Build models and classifiers for predictive analytics
Develop and maintain databases for cataloging large microbial genomic datasets
Communicate research results through conference presentations, scientific publications, project reports that may be catered for different audience e.g. academia, scientists, policy makers and the general public
Organise and maintain proper documentation of research data, scientific interpretations, and project proposals
Provide basic bioinformatics training for in-house microbiologists
Perform supportive administrative work including procurement, preparation of grants related to genomic research
Requirements
Postgraduate degree (minimum MSc or preferably PhD) in computational biology or computer science, or equivalent fields
At least 2 years of relevant work experience in computer programming and/or genomics analysis (WGS and metagenomics)
Basic understanding of food microbiology, molecular biology, and epidemiology will be essential.
Knowledge in microbiome and/or microbial genetics would be an advantage.
Good programming and debugging skills, preferably with experience in Python and R.
Familiar with Illumina and/or Nanopore sequencing data analysis.
Experienced with various sequence mapping, variant calling and genome assembly tools
Knowledgeable in scripting bioinformatics pipelines (Nextflow/Snakemake)
Comfortable with High-Performance/Cloud computing and able to learn new programming languages and paradigms with minimal guidance
Prior experience with peer-review publications in scientific journals in the area of bioinformatics and/or microbiology
Strong critical thinking, problem-solving, communication and collaborative skills
Resilience and ability to cope with multi-tasking
Other Information
Work Location: National Centre for Food Science, 10 Perahu Road Singapore 718837

We regret to inform that only shortlisted candidates will be notified."
"AVP/Senior Associate,DBS Consumer Brand Marketing, Consumer...","DBS Bank",Singapore,None,"Be a marketer and inner data scientist.
Analyze data and create valuable insights to drive digital ATE, build segment knowledge and expertise, and identify…","Business Function

As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.

Responsibilities
The Consumer Brand Team Marketing function will be accountable for achieving business objectives across paid, earned and owned channels through marketing campaigns, events and sponsorships. The team is also accountable for building and shaping brand perception across the various initiatives.
The key responsibilities of the Senior Marketing Manager will be to:
Develop innovative and disruptive marketing and communication strategies and execute plans to succeed in the above objectives.
Delight existing consumers while attracting new prospects through contextual and hyper personalized marketing, new engagement and advocacy campaigns, exploring novel touchpoints and inventive ways of marketing.
Analyze data and create valuable insights to drive digital ATE, build segment knowledge and expertise, and identify opportunities to better connect with our audiences.
The Senior Marketing Manager will work closely with various key stakeholders, including internal and cross-functional teams, as well as external partners such as media and creative agencies; identify and foster key partnerships with relevant brands, advocates and influencers.
The Senior Marketing Manager will define measurement criteria and provide regular updates through reports along with recommendations to refine overall strategy and improve results.
Requirements

At least 6-10 years’ experience in building strategic and creative consumer marketing campaigns, preferably with a background in marketing, communications or worked at a top innovative brand, advertising or media agency.
The ideal candidate should:
Be a marketer and inner data scientist.
Be deeply embedded and relentlessly curious to the digital space from gaming, mobile, social networking, IOT, AI and everything in-between.
Be a fast learner and thrive in a fast-paced and collaborative environment and demonstrate strong judgment and a solution-driven mindset.
Be a thought-leader with a fascination in brand-building and delivering business results.
Be able to “connect the dots” and see the big picture.
Be a multi-tasker, but with clear time management and prioritization skills. Experience in agile marketing is ideal.
Be open to candid feedback about your performance and seek constructive real-time points as a great way to grow.
Be able to work both independently and in close collaboration with a wide array of stakeholders.
Be a team player and a selfless, collaborative Marketing professional who will naturally go beyond roles and titles to get great work done.
A mastery of verbal and written communication as well as presentation skills, a strong sense of EQ and empathy towards others, and an editorial perspective on building a brand’s social presence with an accessible tone of voice, goes without saying.
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
"Senior/Lead Scientist",Lonza,Tuas,None,"Review and interpret raw data to produce good quality process knowledge and data sets suitable for inspection by regulatory agencies.","Today Lonza is a global leader in life sciences. We are more than 15,000 employees in more than 100 locations around the world. While we work in science, there’s no magic formula to how we do it. Our greatest scientific solution is talented people working together, devising ideas that help businesses to help people. In exchange, we let our people own their careers. Their ideas, big and small, genuinely improve the world. And that’s the kind of work we want to be part of.
You will be joining the recently established Virus Validation team within Development Services in Lonza Singapore. The Development Services group is responsible for the development and characterization manufacturing processes used for the production of novel therapeutic recombinant proteins for Lonza’s global client base. The purpose of this role is to design and execute specific virus clearance studies that demonstrate the effectiveness of purification processes for the reduction of viruses to support customers’ regulatory filings (IND & BLA).
Key responsibilities:
Design and perform hands-on laboratory work (e.g. small-scale control run, virus models spiked run, virus inactivation step evaluation, virus reduction filtration) following protocols and working to GMP standards.
Follow work procedures to set up and operate chromatography, ultrafiltration and dead-end filtration systems to GMP standards.
Review and interpret raw data to produce good quality process knowledge and data sets suitable for inspection by regulatory agencies.
Professional development to take up the role of Study Director, who has the overall responsibility of the planning and conducting, as well as the interpretation, analysis, documentation and reporting of results. Design the viral clearance study in accordance with guidelines (e.g. EMEA and ICH Q5A).
Authoring of protocols and reports and interaction with regulatory agencies are required.
Supervision of project teams and leading troubleshooting activities may be required.
Develop and manage relationships with external customers and teams at contract testing laboratories.
Deliver high quality communication to ensure an outstanding customer experience (written reports, teleconferencess, face-to-face meetings).
Working as part of a site and global project team, co-ordinate multiple projects and ensure timely delivery of project workstages.
Key requirements:
Degree/PhD in Biological Science/Engineering as appropriate for area of expertise.
Work experience or PhD with experience gained in a lab either in industry or academia, or via an industry work training programme.
Practical laboratory experience in virus clearance studies , study directing and project management is required.
Experience with laboratory scale AKTA chromatography and proficient in the use of Unicorn software.
Developing a detailed understanding of the scientific rationale behind one or more technical areas involved in the development of biopharmaceuticals.
The final role offered will be commensurate with the candidate’s experience.
Understanding of cGMP regulations and quality management is required.
Good problem solving and analytical skills.
Good communication skills (verbal and written).
Good team working skills.
Every day, Lonza’s products and services have a positive impact on millions of people. For us, this is not only a great privilege, but also a great responsibility. How we achieve our business results is just as important as the achievements themselves. At Lonza, we respect and protect our people and our environment. Any success we achieve is no success at all if not achieved ethically.
People come to Lonza for the challenge and creativity of solving complex problems and developing new ideas in life sciences. In return, we offer the satisfaction that comes with improving lives all around the world. The satisfaction that comes with making a meaningful difference ."
"Research Fellow/Senior Research Fellow","Solar Energy Research Institute of Singapore",Queenstown,None,"Solar energy is currently the most technically and economically viable renewable energy option for Singapore.
Explore synergies and co-operative strategies that…","SERIS Department : SES Cluster
Group : Urban Solar Group
JOB ID : MCF-2020-0044837
Job Scope:
Solar energy is currently the most technically and economically viable renewable energy option for Singapore.
As Singapore continues gearing up to combat climate change, the deployment of solar energy is expected to
grow even further. To date, Singapore has already deployed ~300 MWp of solar photovoltaic (PV) capacity, and
the government has set its sights on an ambitious target of 2 GWp by 2030.

The high population density in Singapore and highly urbanised landscape necessitate careful use of space to
deploy solar PV systems, and often synergies are required with other uses of land and roof spaces. In the
Urban Solar Group, you will be part of a team tasked to explore the best ways of increasing solar PV capacity in
Singapore’s highly urbanised landscape. You will work with stakeholders across various organisations to
explore synergies and co-operative strategies that best make use of available space.

In addition to research and development, a sustainable strategy at combating climate change also requires
exploring practical deployment of useful tools and technologies. Hence, you will also work on developing clear
commercialisation strategies for promising tools and technologies that can benefit not only the solar energy
industry within Singapore, but in the broader ASEAN region as well.

Activities include:
Working with Geospatial Information System (GIS) and city-wide simulation platforms to produce insightful
analyses and models related to the use and deployment of solar energy.
Providing technical guidance related to solar PV deployment under the SolarNova programme.
Developing solutions to encourage further solar PV deployment in Singapore and the broader ASEAN
region.
Collaborate with industry partners to build useful tools that overcome problems hindering adoption and use
of solar energy.
Cooperate with Cluster colleagues to develop and test-bed promising solar PV systems technologies
relevant to Singapore.
Requirements:
Essential:
PhD degree in Geography, Architecture, Engineering or comparable studies;
In-depth knowledge of GIS;
Relevant knowledge of PV system modelling, design and installation;
High level of communication and interpersonal skills;
Demonstrated, outstanding project management experience;
Ability to present work to other scientists and industry partners in a clear and concise manner;
Ability to work collaboratively with colleagues.

Desirable
Familiarity with how energy markets work and the energy landscape in Singapore;
Strong experience with industry stakeholder engagement;
Skills in data visualisation.

Interested candidates please submit your application (with CV) at:
https://www.mycareersfuture.sg/job/engineering/research-fellow-senior-research-fellow-
national-university-singapore-838b1c5a0c2523efd61c58fdc039a7be

Or Mail your CV to:
Solar Energy Research Institute of Singapore
National University of Singapore
7 Engineering Drive 1,
Block E3A, #06-01,
Singapore 117574
Email: serishr@nus.edu.sg
Tel: (+65) 6516 4119


We regret that only shortlisted candidates will be notified.



For more information on SERIS, please visit www.seris.sg"
"Junior Researcher","QUILT AI PTE. LTD.",Singapore,"$3,000 - $3,500 a month","Data science and analytics, quantitative research, and/or.
Cultural data scientists humanise big data with behavioural and cultural insights to help…","Roles & Responsibilities
Roles & Responsibilities

Cultural data scientists humanise big data with behavioural and cultural insights to help organisations we partner develop empathy with the people they serve. They apply a range of tools - from semiotic frameworks to regression analysis - to find validated meaning in the millions of data points we extract every day.

Our cultural data scientists are naturally curious people who want to be at the cutting edge of empathy at scale. Their interdisciplinary skill is critical to using machine learning to transform large sets of disparate data usi into human and cultural truths. They come from a variety of backgrounds - social scientists who are excited to map and analyse tens of millions of human data points in days and not years, and data scientists who wants to underpin digital behavioural and predictive models with cultural context.

How you will add value to our team:
Manage projects from framing to delivering solutions
Extract data points across multiple digital channels and apply Quilt.ai machine learning processes, anthropological frameworks and validation tools to identify human and cultural insights
Answer complex problems with sharp solutions that our partners can action
Work with the team to develop new cultural and machine learning models and processes

What you will bring to Quilt.ai:
1 to 2 years experience in any of the following areas:
Anthropology, sociology, semiotics, and/or
Data science and analytics, quantitative research, and/or
Qualitative research
Openness to learn from and actively engage with a multidisciplinary team of designers, engineers, researchers and domain experts
Excellent written and verbal communication skills
Exceptional initiative, attention to detail and follow-through skills

Employment Type - Full-time [CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]

[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]"
"Data Analyst (HR)","Sciente Consulting Pte. Ltd",Singapore,None,"Minimum 2 years of relevant experience as Data Analyst, Data Scientist, Business Analytics;
Possess technical expertise on data modelling, database design…","Job Description :
An exciting opportunity for Analytics professionals to deepen skill sets in Data Analysis for the Human Resource (HR) department.
He/She will need to to develop advanced HR analytics strategies, to apply people analytics using advanced analytics technologies to solve problems through analytics driven insights.
Mandatory Skill(s)
Bachelorâ€™s degree, preferably in a field of Applied Statistics, Data Mining, Machine Learning orComputer Science;
Minimum 2 years of relevant experience as Data Analyst, Data Scientist, Business Analytics;
Hands-on experience working on large data sets and able to solve problems through analytics driven insights;
Knowledge of basic data science concepts (e.g. machine-learning algorithms, natural language processing, business application of statistics);
Possess technical expertise on data modelling, database design development and data mining techniques;
Experience in data analysis technologies (e.g. Tableau, Python, R, SAS) and database development tools (e.g. SQL, Hadoop);
Has a strong aptitude for numbers and comfortable handling large volumes ofdata;
Meticulousand organised with good interpersonal and communication skills.
Desirable Skill(s)
Experience in applying data visualisation technique(s).
Responsibilities
Coordinate with HR business users/stakeholders to gather necessary elements for successful implementation of initiative(s);
Perform full cycle of Data Analyst activities such as analysingdata, identifyingtrends, developing insights and presenting key findings to the management;
Conducting assessment and examination of datafrom the source to ensure consistency;
Design holistic analytical reports, articulating and transforming them into actionable people insights for key HR stakeholders;
Ensures documentation of processes, analytics design, measure definitions, data integration, and development;
Come up with ideas, experimenting, forming hypotheses and testing them out;
Champion Data Analytics driven activities within theteam, participate in data science projects to discover new analytics technologies and capacities through integrating current and new HR systems.

Job Description : An exciting opportunity for Analytics professionals to deepen skill sets in Data Analysis for the Human Resource (HR) department.He/She will need to to develop advanced HR analytics strategies, to apply people analytics using adv"
"Scientist / Centre for Animal & Veterinary Sciences","National Parks Board",Singapore,None,"Experience in using various software for phylogenetic analyses and data mining.
As a member of a multi-disciplinary team in charge of the risk assessment and…","The Animal & Veterinary Service (AVS), a cluster of NParks, safeguards the health and welfare of animals through comprehensive and integrated programmes and works closely with partners in the veterinary and animal-related industries to strengthen capacities and enhance competencies in animal health and welfare. It is the main touch-point on animal and veterinary matters in Singapore and the first responder for all animal-related feedback. It also conducts public education and engagement programmes to foster a humane and gracious society for all, where pet owners, communities, and animals co-exist in greater harmony within our biophilic City in a Garden.

Responsibilities:
As a member of a multi-disciplinary team in charge of the risk assessment and surveillance programmes of animal/zoonotic pathogens, the officer will be responsible for using data analytics and bioinformatics tools to analyse data from Next Generation Sequencing (NGS). The data generated will be used to support animal disease investigations, planning of animal health surveillance, research and development, and preparedness plans for safeguarding animal and public health in Singapore.

You will be involved in the following duties:
Perform phylogenetic analyses and process genomic data generated from Next-Generation Sequencing (NGS) and/or other sequencing platforms.
Develop pipelines for genomic data analyses and be competent in developing own or customising existing software workflows to meet project requirements.
Maintain and update the computing systems used for bioinformatics and provide trainings when required.
Support animal health related work such as risk assessments, review of surveillance programmes and development of emergency preparedness plans.

Requirements:
Degree in Computer Science, Bioinformatics, Life Sciences or related fields.
Experience in using bioinformatics tools to analyse whole genome sequence data of pathogens for at least 3 years.
Experience in using various software for phylogenetic analyses and data mining.
Experience in performing statistical analyses of datasets.
Candidates with relevant job experience and training in biostatistics and public health will have an advantage.
Knowledge of the epidemiology of animal and zoonotic diseases e.g. rabies, avian influenza, strangles and melioidosis, and antimicrobial resistance would be desirable.
Highly motivated individual with passion for computational work and infectious diseases.
Team player with initiative, drive and good interpersonal/communication skills (verbal and written) and able to work independently.
Competent in IT skills with knowledge in scripting languages (e.g. Python, R) and Unix programming.
Knowledge of GIS would be an advantage.

Office Location:
The Animal & Plant Health Centre, 6 Perahu Road Singapore 718827

Only shortlisted candidates will be notified."
"Scientist 1 - Protein Engineering",Illumina,Woodlands,None,"PhD in Life Sciences in a relevant field such as protein engineering with experience in Next Generation Sequencing (NGS) data handling or bioinformatics will be…","Position Summary:
Next Generation Sequencing (NGS) is a pivotal technology which has led to great advances in basic research as well as clinical diagnosis. Illumina is by far the largest provider of NGS instruments globally. Illumina’s success is the result of a relentless focus on cutting edge technological development. We are currently recruiting for a Scientist for our Protein Engineering team, who is keen to be part of this culture of constantly pushing forward the boundaries of science and technology to benefit human health.
The Scientist 1 - Protein Engineering will carry out scientific research in the field of protein engineering, to enable the creation of highly evolved enzymes for next generation sequencing products. This position will be based in Singapore.
Tasks and Responsibilities:
Carry out protein engineering and directed evolution of relevant targets to generate mutants with improved properties as required for the assigned project. This work includes but is not limited to generating mutant libraries, developing and applying effective screening strategies and biochemical characterization of selected mutants.
Devise creative screening methodologies for the task at hand and implement in consultation with colleagues.
Organize, analyze and communicate results to broader team.
All listed tasks and responsibilities are deemed as essential functions to this position; however, business conditions may require reasonable accommodations for additional task and responsibilities.
Preferred Educational Qualifications:
PhD in Life Sciences in a relevant field such as protein engineering with experience in Next Generation Sequencing (NGS) data handling or bioinformatics will be desirable.
Preferred Experience & Skills:
Familiarity with basic molecular biology techniques like PCR, electrophoresis, site directed mutagenesis, various DNA manipulation techniques etc and troubleshooting thereof.
Experience with NGS or bioinformatics is desirable.
An understanding of protein biochemistry, engineering and structure is desirable.
A “can do” attitude, ability to work collaboratively in a team and good communication skills.
Post-doctoral or other experience of working independently is a plus.
Illumina believes that everyone has the ability to make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information."
"Research Assistant","Duke NUS graduate medical school Singapore",Outram,None,"Liaise with other team members to ensure that the required equipment, materials and data are available when required.
Programme in Cancer & Stem Cell Biology.","A research assistant position is currently available in a multi-disciplinary team using cutting-edge technologies to study the dynamics of cell proliferation and death in normal and deranged environments, led by Assistant Professor Lisa Tucker-Kellogg. One type of derangement is pressure ulcers, a type of wound that exhibits delayed healing, while another is lung cancer during treatment with targeted drug therapy (e.g. anti- EGFR). In the former, the environment seems conducive to proliferation, yet proliferation is inadequate, while in the latter, the environment seems hostile to proliferation, yet cells evolve resistance and continue to proliferate. These studies of cell proliferation under stressful conditions provide an opportunity to learn about drug resistance, oxidative stress, ischemia, stem cell biology and cytoskeletal morphology.


The candidate will be expected to perform duties that support the research activities, including but not limited to the following: -
Conduct biological experiments in vitro and in vivo, including planning, conducting, replicating, analysing, and communicating research.
Maintain a professional laboratory notebook and write project-specific documents such as standard operating procedures.
Conduct in vivo experiments which may include mouse handling, genotyping, injections, sample processing, immuno-staining and microscopy.
Conduct in vitro experiments which may include mammalian cell culture, drug treatments, microscopy and molecular biology assays.
Communicate scientific information using text, charts, images and verbal presentations, and write up results for communication to international reviewers.
Perform laboratory organisation tasks such as communication with suppliers, procuring laboratory consumables and management of inventory.
Liaise with other team members to ensure that the required equipment, materials and data are available when required.
Contribute to project management and provide guidance to junior scientists.
Uphold safety procedures and conduct risk assessments.
Uphold ethical conduct and comply with laboratory practice agreements.
Qualifications

Job Requirements
Bachelor / Master Degree in Science or Life Sciences.
At least 2 years of relevant work experience with knowledge of biological background relevant to the research area.
Possess biological laboratory skills such as mammalian cell culture and rodent handling.
Demonstrated knowledge, skills and expertise in supporting various biological research activities.
Prior experience with confocal microscopy would be advantageous.
A self-motivated team player who is able to prioritise, multi-task and work collaboratively in a research environment of diverse workforce.
Applicants with higher credentials may be considered for a more senior appointment.
We regret that only shortlisted candidates will be notified.
Job: Research
Primary Location: Outram
Organization: Programme in Cancer & Stem Cell Biology"
"Software Engineer",Nugit,Singapore,None,"You are a team player - you want to work with engineers, designers and data scientists from all over the world.
You will work together with the API team to:","Want to work for a funded startup in Singapore that is building the next generation of artificial analysts for marketers?Our technology turns data into insights and presentation ready reports, at a scale to support some of the largest marketers, agencies and technologies companies across the world.
We are hiring engineers to join our team to build the next generation of Nugit SDKs, services and algorithms that automatically produce presentation ready reports in many different formats from super interactive web views, TV, old school formats such as Email, PowerPoint, and APIs that other applications can use to present Nugit data.

This is your chance to work at the absolute forefront of technology and design; using modern frameworks and a microservices architecture deployed on the cloud. Nugit’s team comes from 15 different countries, and specialises in many different technologies and areas such as Design, Data Engineering, Visualisation, SaaS applications. Everyone contributes their unique skills and experience to create an awesome environment for learning, challenging yourself and delivering value to the marketing services industry.

The Role: Software Engineer
In this role you will be joining the API/Service Engineering team primarily focusing on the application service layer.

Core Responsibilities
You will work together with the API team to:
Maintain and improve the internal APIs
Develop the API to support new front-end features
Improve and develop new features for the internal admin interface
Implement integrations with 3rd party services
Review and turn business requirements into actionable solution implementation
Contribute in Kaizen effort in tooling, processes and communication

Requirements
For this role, we are seeking talented individuals who matches below profile:
Experienced Ruby and Ruby on Rails, Postgresql and Rspec
Your believe in writing tests
You are experienced in working with 3rd party APIs and also perfectly comfortable in building Restful API
You are organized and you write documentation
You strive at following processes and best practices
You are proactive and willing to learn
General Skills
You are entrepreneurial - you’re an independent thinker and a problem solver
You are effective – you use version control with git, you work fast, ship product and you get stuff done
You are a team player - you want to work with engineers, designers and data scientists from all over the world
You are adaptable - you embrace the fast paced and always changing nature of a startup
You are remarkable - you can show us real world examples of the amazing stuff you have built in the past
You are curious and a fast learner"
"Full Stack Solution Architect – Trading",Cargill,Singapore,None,"Analyse data requirements, develop and document data dictionary, and develop data models.
The strategic importance of an Enterprise wide data driven strategy to…","Position Purpose & Summary:

The Solution Architect –Trading is responsible for consulting and providing direction on all management and development initiatives related to the APAC region for the complex Trading Ecosystem. The Ecosytem comprises an integrated mix of old and new technologies (CTRM, Trade Executions, Physicals Operations, Data & Analytics) with on-premise and SaaS based solutions in play.

This is a role with balanced responsibilities for understanding needs, both business and technical, and develops and maintains complex solutions that sustain and protect the integrity of the overall Trading Ecosystem and its complex set of integrations and interfaces to other parts of the organization such as Treasury and our ERP’s. By understanding the Trading domain and the latest technologies, the candidate has the opportunity to drive the modernization of front office trading applications, including systems of records and trading analytics technology.

Working closely with the global architects, the APAC solution architect will be responsible to assist managers in setting the medium term direction, roadmaps and standards for functional, process, and/or technical solutions, ensuring they align to the overall Enterprise Architecture and how global trading platforms can integrate into the APAC environment.

Familiarity with the Global IT Trading Strategy is key in order to provide the right counsel on all aspects of application development and architecture design including – performance, scalability, coding, caching, security, encryption, session state management, and error logging and testing. In addition, this position plays a key bridging role across requirements analysis, design, development and testing.

Utilizing robust knowledge of architecture, may play a role in negotiations with key vendors and participates in key vendor relationship management process.

The strategic importance of an Enterprise wide data driven strategy to drive the development of Digitalization and Analytics across the Trading environment globally requires this role to be effective in working with data architects, data modelers, data engineers and data scientists.

This position requires an expert in the architecture space with advanced knowledge to independently conduct the most complex activities. Responsible for managing a large portfolio of architecture solutions, with a long-term outlook. This will include: Architecture strategy and planning, business partnering, relationship management and consulting, governance and portfolio management, architecture definition methodology, and people and budget management.

The position holder must demonstrate an ability to deal with ambiguity, work under pressure to tight deadlines and a willingness to develop strong knowledge and expertise in the trading domain.

The Solution Architect will act as a coach and mentor for more junior team members both onshore and offshore and may be involved as a technical subject matter expert in the resolution of Level3 application support issues.

Direct experience working in an Agile approach, is preferred, as is understand of DevOps environment and other technology trends.

Overall the role requires the resource to be able to link business process with current system map and assess complex issues from multiple angles. It also requires the resource to be a strategic thinker and have the experience to evolve the solution in place to adapt to changing clients needs as well as changes based on market trends.

Technical Skills: We work with a variety of vendor products and technologies. As such we prefer the successful candidate to have a broad exposure to multiple different initiatives. The role requires taking an unbiased structured approach to determining the best solutions, satisfying the requirements of a large number of stakeholders.

Business Knowledge: Commodities Trading, Physicals Trading and Operations, Risks & Valuation. Metals Trading experiences is desirable.

Principal Accountabilities:

60% - Project Execution - Systems Analysis and Development:
Analyses user system and application needs, determine and evaluate potential solutions, develop system specifications and requirements, and design application programs to meet the requirements.
Interacts with business and IT resources to understand and analyze business, functional, and technical requirements.
Works with business(es) to help shape the direction of the products based on a combined knowledge of what is technically feasible and what is desired by the end user.
Design and estimate integrated solutions which may include applications, databases, networks, and related systems
Provide consult and strategic architectural oversight during the design, build and test phases and tests automation of all projects
Provide advice on the resources required to support and execute projects.
Participate in the selection of those resources.
Provides coaching on the Ecosystem to 3rd parties engaged in our projects and/or training to more junior members of the team, including coaching Cargill core values (e.g. data privacy).
Work with business(es) to help shape the direction of the product based on a combined knowledge of what is technically feasible and what is desired by the end user.
Conduct design and code reviews with peers, business system analysts, and quality assurance teams.
Participate during system/integration/UAT testing and provide timely and accurate defect resolution.
Create the Material and provide the Governance in order to maintain the Ecosystem live and safe.

30% - Strategy, Business Partnering and Consulting:
Develops a good understanding of the Trading Business Unit (BU) Strategy and most specifically its direction in terms of Process, Data and Technology (PDT).
Develops a deep and broad understanding of the existing Global Trading Ecosystem.
Develops an understanding of the Cargill Metals, Cargill Agriculture Supply Chain (CASC), Enterprise Data & Digitalization Strategy and the strategic importance of the Cargill Data Platform (CDP)
Consults with Global Trading Solution Owners and Architects to ensure full awareness of target or solution architecture as part of the Global IT Trading Strategy.
Evaluates industry trends and vendor products in close consultation with Global Trading Solution Owners and Architects.
Provides leadership by pro-actively sharing insights and knowledge to advise BU and Functional Management on its Long-Term Strategic Direction for Process, Data and Technology (PDT) with the aim of finding better solutions.
Pro-actively participates in the assessment of potential projects and the development of a meaningful roadmap for delivery.
Plays a key leadership role in championing data as a corporate asset and ensuring the value realization of the investments Cargill is making in data and information.

10% - Project Management Office Leadership:
Develop a good understanding of the Cargill Data Platform (CDP) and some of the projects and initiatives being worked around it.
Collaborate effectively with our Cargill Data Team and Business Intelligence stakeholders.
Structure, implement, and maintain database systems.
Establish policies, standards and procedures to ensure useful and readily accessible data.
Analyse data requirements, develop and document data dictionary, and develop data models.
Develop, maintain and support associated databases.
Qualifications

Required Education & Experience:
BA/BS in Business, IT, or Computer Science or equivalent
10-15 years of IT and business / industry work experience
Experience with software development methodologies and SDLC
Ability to Deliver Results (Quality & Benefits)
Proven expertise in designing end to end solution.
Experienced working an offshore development model
Strong collaboration and influencing skills
Demonstrated ability to be successful in ambiguous situations
Experience working in a matrixed and leveraged organization
Experience anticipating emerging issues, problem solving and implementing new business solutions across process data and technology
Experience interacting effectively, confidentially and appropriately with various levels management and customers
Business fluency in English and local languages as defined
Willing to travel up to 15% of the time

Preferred Skills & Experience:
5 years’ experience working in Trading applications
Demonstrated experience in the design of clean, efficient, usable application interfaces from conceptualization to implementation
Proven track record of designing scalable, reliable, high performance software applications with an emphasis on Digitalization and Analytics
Proven track record of anticipating emerging issues, problem solving & implementing new solutions, including improving efficiency, quality, cost & productivity
Practical Experience with emerging technologies and tools (IoT, Data Analytics, Artificial Intelligence and Machine Learning)
Nice to have knowledge and exposure around Big Data and Cloud architecture.

Job Information Technology
Primary Location Singapore
Schedule Full-time
Job Type Standard
Shift Day Job"
